"ID","Manufacturer","Size","Age"
"DP4602","Moloney",75,14.4458968494194
"ES2898","Camtran",50,3.79205805105175
"KD1793","Camtran",50,18.6483357619188
"EC7462","Moloney",100,29.1014601350046
"HO0596","Camtran",75,8.44916157728915
"EW1985","Nema",75,62.031757393037
"KT4577","Moloney",50,61.0884609794886
"YS1114","Moloney",100,46.3601185722293
"ZM2412","Camtran",100,20.9479565494844
"FK1543","Camtran",75,10.2232760258641
"AZ8122","Nema",75,47.3759974175857
"JA5314","Camtran",100,22.4356090389271
"PS5757","Camtran",50,36.6512946519198
"LM6500","Nema",50,35.0881532367546
"AN7034","Moloney",75,28.718469331934
"AY4308","Camtran",50,5.25989427257691
"ZU1139","Camtran",75,35.5222183453187
"TD0572","Moloney",75,29.3816148565517
"WT7060","Camtran",75,24.0898299381258
"AW4536","Nema",100,5.96927915913344
"XI2610","Camtran",75,19.2255371059799
"LE2219","Moloney",50,18.4952063152612
"KF6032","Nema",50,11.5836348211351
"KT6331","Moloney",50,37.4137840384131
"OF2972","Camtran",50,67.2857715824154
"EP1389","Nema",75,6.55365405948893
"MT7947","Moloney",100,21.0171935315381
"NF9212","Nema",75,4.03788599198878
"QD8729","Moloney",75,11.327071832351
"RT2327","Moloney",100,16.2710156185684
"LP8408","Camtran",75,9.99409586659679
"XA9507","Nema",75,16.7096433933772
"AC4084","Nema",50,32.7970448937565
"KM5015","Nema",75,7.83425998565477
"NB7672","Nema",50,36.6323093231656
"XG8336","Moloney",50,24.1580084900283
"FS7277","Nema",75,38.6955812868655
"YA0513","Moloney",75,15.6534636891498
"OL5073","Moloney",50,23.6966789402487
"IJ3723","Moloney",100,26.1696395145239
"LF3745","Moloney",100,28.3679564290549
"OW0533","Moloney",50,38.3857396070468
"IQ2499","Nema",100,22.0394597177259
"XL0863","Moloney",50,18.3487508342179
"WV1228","Camtran",50,68.3215306613506
"IV2578","Moloney",75,32.0295050308988
"NW0100","Moloney",75,35.5471600998251
"XR1113","Camtran",75,17.0053629462681
"TM6145","Moloney",50,68.8255633183038
"BN1063","Moloney",100,26.9541838856978
"GA9648","Camtran",75,69.3040713856987
"JD0946","Nema",100,1.51644090056459
"AZ4036","Camtran",75,12.7474930033932
"FM7839","Moloney",50,7.22825553473328
"GL3258","Camtran",75,40.7962777548312
"PG6273","Nema",50,20.7630015182974
"ZR1260","Camtran",50,11.8623100092861
"UB6714","Moloney",50,47.34075787467
"PU8058","Nema",75,30.4323603208712
"FV8222","Moloney",75,45.9320839917095
"IY7022","Nema",100,37.5095108434264
"AT5526","Camtran",75,17.6274523664094
"IS9247","Nema",75,53.6120211747938
"XQ9923","Camtran",75,7.36632760124067
"NX0650","Camtran",75,30.5467207951079
"AZ1356","Moloney",50,56.2560453285848
"DV5028","Nema",100,24.0770997283404
"OV1788","Nema",100,4.83066988699072
"CK7038","Camtran",75,50.2857053981539
"VK6797","Nema",75,16.0077206913974
"BF2008","Camtran",100,61.3912535775552
"HN0908","Moloney",50,18.4846470210513
"AN5697","Moloney",100,32.8908624279069
"VC6437","Camtran",75,8.36576718700317
"MF3355","Camtran",75,4.26776591027182
"ZH4112","Moloney",100,15.9254568470807
"LN8108","Camtran",50,35.1055712709582
"HP2917","Moloney",100,22.0012747462172
"AR0883","Moloney",75,18.4327998100968
"YE8842","Camtran",50,18.293935930213
"YO5863","Camtran",50,2.76186501411112
"IP6747","Camtran",50,0.917371270618112
"JL4189","Moloney",75,19.606690979889
"ZB0490","Nema",50,33.6157779818765
"ZF6368","Nema",100,10.3843321555638
"ZK8539","Nema",75,11.5514248453444
"PM8929","Nema",75,18.4080797197523
"XY6125","Moloney",50,18.4803009444615
"BN5751","Camtran",75,16.6888633244505
"RB9729","Nema",75,62.6039039092052
"FG2263","Nema",50,23.8313269367034
"OM7224","Nema",50,12.3668166426442
"ZE3215","Camtran",75,39.3902921120896
"HF0029","Camtran",50,34.2656718543704
"DS0535","Camtran",100,32.560664715937
"PZ2151","Nema",50,49.510903485611
"JI7813","Camtran",50,25.452187538576
"SH4695","Moloney",75,43.6296217033088
"YQ6124","Moloney",50,15.7271315279734
"TX2658","Camtran",100,21.5691291010518
"AY3902","Nema",50,24.2858829184285
"KG5522","Camtran",100,20.8809679954275
"UT2894","Moloney",100,10.1226306702949
"PO9004","Camtran",75,25.9251019802615
"TY9385","Moloney",50,26.9356122599229
"YQ0138","Camtran",50,24.3054823351568
"HC1504","Moloney",75,3.22526898650053
"PO9852","Moloney",100,24.8782326608614
"OG4283","Moloney",75,50.3782741986366
"EI6505","Moloney",50,23.2186800158633
"WJ8557","Nema",50,37.6517413293731
"PG0944","Camtran",100,60.215881583235
"OY4903","Moloney",50,9.26913122859318
"FM1757","Moloney",50,24.2940848678579
"XR4640","Camtran",50,15.679417357795
"SW0958","Moloney",100,6.70970051152777
"QI1768","Moloney",50,24.1155106536018
"RI4231","Moloney",50,24.5709333671572
"UV1274","Camtran",50,54.033266490467
"CW3253","Camtran",50,32.1829970793595
"YZ6704","Nema",50,10.3184344582911
"KT7922","Nema",50,29.0228537414782
"JA4739","Moloney",75,18.3930670333997
"WS6500","Moloney",75,0.882254998403452
"WL6189","Nema",50,15.3646178189062
"EU3760","Camtran",100,22.3272101378811
"PB9601","Nema",50,36.6023458870434
"TL4648","Nema",50,46.8502389981362
"JK0558","Moloney",50,16.3279290545972
"PO9621","Camtran",100,29.1012417794203
"LS5855","Moloney",50,41.001862673529
"YT4229","Moloney",100,1.43654306902193
"GQ6306","Nema",50,5.01767940582728
"NH3477","Camtran",50,55.5291486544268
"NU1378","Camtran",50,13.0900726753908
"GC6621","Moloney",100,1.94800266124189
"LQ5197","Moloney",50,93.7911343862729
"DE5502","Camtran",50,38.4877116921512
"IA4258","Moloney",100,4.62635891157679
"HD2962","Moloney",75,54.2151731934542
"TG7746","Nema",100,6.35276003277753
"NF9163","Nema",50,10.2856840189003
"JK0820","Nema",50,22.861216486192
"KL0460","Camtran",75,15.5326605208503
"HD7751","Moloney",50,33.1414073674979
"HY2055","Moloney",50,48.550137915995
"HO7429","Camtran",50,15.7385332731722
"SU8012","Moloney",50,41.4000543009961
"IV1924","Moloney",75,25.7868084238005
"CO0023","Camtran",50,6.90463519760686
"UT8147","Camtran",50,25.1181661596833
"RY4001","Camtran",75,31.8687660449009
"FY0722","Nema",100,12.2844183169624
"LE8517","Moloney",50,43.6798532345221
"HA1972","Nema",75,6.32881880554461
"BO6342","Nema",100,20.206079016269
"ER5192","Camtran",75,64.0991411198658
"TC6171","Moloney",75,31.1246322949396
"JF7749","Camtran",75,65.6498775838725
"ZY2330","Moloney",100,29.5775095996326
"BR0924","Camtran",75,31.2747771770365
"MV3634","Nema",50,4.71258888774118
"ZR7628","Nema",100,45.3254242888409
"IU9905","Nema",100,7.16901335117921
"QE3343","Camtran",75,41.1634627358557
"SH6857","Camtran",75,18.8592916303061
"ND4524","Nema",100,50.1763961705311
"HA4945","Nema",50,14.3104432518845
"HQ7739","Moloney",100,8.25971974673375
"BM5911","Nema",50,20.7148741483673
"TW6087","Nema",100,4.48313931979993
"ME9280","Camtran",75,13.7131966902272
"SR1245","Camtran",50,14.2289325938614
"KV2516","Nema",100,7.76956796186344
"UO2115","Moloney",50,11.9411160708185
"WA0746","Nema",100,96.5560144234949
"UJ5594","Camtran",50,29.4019353066432
"IM9781","Moloney",100,14.2997656209783
"BM4082","Moloney",100,3.87634288508897
"MC7201","Camtran",100,36.0114425961771
"UT1930","Nema",50,24.1979078170047
"BT0751","Moloney",100,32.3537104399474
"IW9707","Camtran",75,27.0981369634205
"BM1398","Moloney",75,9.29071995501714
"JY6016","Camtran",100,10.0273921671149
"HO2394","Camtran",75,7.23474486104042
"VU4575","Nema",50,9.63560441018778
"YQ3735","Moloney",75,17.6157613512615
"KW6679","Nema",100,22.161898663109
"DK1734","Camtran",75,19.4798193790065
"FA8231","Nema",75,29.8864320916689
"JR2388","Camtran",50,40.765433441499
"AG9641","Camtran",50,24.3131926065339
"KG8314","Moloney",50,19.5986566518228
